system,run_id,max_cpus,host_system,payload_size,iterations,workers,category,total_ops,throughput_ops_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_min_ms,latency_max_ms,cpu_db_mean_perc,cpu_client_mean_perc,mem_db_mean_mib,mem_client_mean_mib,io_db_read_mib,io_db_write_mib,io_client_read_mib,io_client_write_mib,resource_samples
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,10000,4,insert,40000,4519.928,0.8782385,0.644873,1.0165089,4.452103,0.019158,79.71674,0.0,100.515,0.0,3159.3472,0.0,0.0,0.0,1024.0,10
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,10000,4,read,40000,7971.0254,0.4924038,0.135813,1.0044173,1.6718022,0.0065929997,72.92249,0.0,97.3775,0.0,3098.624,0.0,0.0,0.0,0.0,4
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,10000,4,update,40000,3695.1694,1.0734441,0.7198885,1.1691113,22.053362,0.032564,91.63573,0.0,101.8125,0.0,3153.408,0.0,0.0,0.0,1024.0,12
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,10000,8,delete,80000,2908.4333,2.7370024,1.810497,3.264646,31.913149,0.099525996,89.65754,0.0,100.19058823529411,0.0,3322.7595294117646,0.0,0.0,0.0,3072.0,34
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,10000,8,insert,80000,2653.2976,2.9213579,1.9217515,6.6195264,26.741186,0.032002997,89.83325,0.0,98.8564,0.0,3292.20096,0.0,0.0,0.0,2048.0,25
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,10000,8,read,80000,2563.4526,3.0548594,1.1146181,4.5785875,58.024223,0.0055210004,90.413445,0.0,100.25777777777779,0.0,3271.736888888889,0.0,0.0,0.0,1024.0,18
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,10000,8,update,80000,2370.7603,3.3214195,2.1258044,5.2508173,32.915466,0.033536002,231.43324,0.0,99.74000000000001,0.0,3315.9912727272726,0.0,0.0,0.10000000000000142,3072.0,33
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,100000,1,delete,100000,7689.801,0.13004239,0.038511,0.093415,0.1454862,0.015220001,1139.6046,0.0,40.65083333333333,0.0,3055.701333333333,0.0,0.0,0.0,2048.0,12
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,100000,1,insert,100000,16147.0625,0.06193077,0.0396585,0.11997605,0.1902453,0.015410999,173.63454,0.0,75.576,0.0,3053.568,0.0,0.0,0.0,2048.0,5
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,100000,1,read,100000,36578.223,0.027338669,0.013056,0.1123625,0.18585739,0.004810001,5.347331,0.0,99.515,0.0,3030.016,0.0,0.0,0.0,0.0,2
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,100000,1,update,100000,13964.934,0.07160793,0.043887,0.099336,0.14511651,0.021972999,183.28691,0.0,80.80166666666666,0.0,3054.421333333333,0.0,0.0,0.0,3072.0,6
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,100000,2,delete,200000,5136.788,0.38915208,0.2332595,0.5732115,0.9055431,0.015751,302.5305,0.0,95.92541666666666,0.0,3098.2826666666665,0.0,0.0,0.0,5120.0,24
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,100000,2,insert,200000,4970.708,0.40209308,0.2542415,0.5485225,0.88279,0.016864,248.82245,0.0,91.9128,0.0,3096.04352,0.0,0.0,0.0,5120.0,25
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,100000,2,read,200000,19904.215,0.100439444,0.016872998,0.3396943,0.68673533,0.008497002,52.99387,0.0,99.80833333333334,0.0,3076.4373333333333,0.0,0.0,0.0,0.0,6
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,100000,2,update,200000,4571.0093,0.43699837,0.26117402,0.6046347,0.9733003,0.024028,191.04044,0.0,95.57222222222221,0.0,3112.6186666666667,0.0,0.0,0.0,5120.0,27
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,100000,4,delete,400000,2197.2737,1.8187902,1.011236,1.8322312,31.20604,0.017324,785.4031,0.0,87.08554455445544,0.0,3663.5374257425747,0.0,0.0,438.2,10240.0,101
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,100000,4,insert,400000,2515.0242,1.5887067,1.0116966,1.7602569,13.649808,0.018276002,842.7223,0.0,81.4890909090909,0.0,3189.387636363637,0.0,0.0,0.6000000000000014,10240.0,88
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,100000,4,read,400000,10946.143,0.36259437,0.037995,0.84294754,2.0341902,0.009058,77.417694,0.0,100.72200000000001,0.0,3173.6832,0.0,0.0,0.1999999999999993,0.0,20
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,100000,4,update,400000,2240.0735,1.7842124,1.1158946,2.0088983,30.911396,0.024207998,681.21515,0.0,94.83287128712873,0.0,3550.491881188119,0.0,0.0,3.0,14336.0,101
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,100000,8,delete,800000,1457.8221,5.4758725,3.3559725,7.511262,35.46587,0.050701,5157.0063,0.0,85.5308041958042,0.0,3442.480335664336,0.0,0.0,4188.160000000001,43008.0,286
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,100000,8,insert,800000,1975.7489,4.0386868,2.947151,6.0044074,21.427286,0.027714003,3671.0032,0.0,90.51227906976744,0.0,4096.557246511627,0.0,0.0,0.0,25600.0,215
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,100000,8,read,800000,1945.8795,4.10531,1.6264131,6.837519,58.51361,0.011232998,210.55968,0.0,100.49408653846154,0.0,4423.089230769231,0.0,0.0,3443.68,17408.0,208
berkeleydb,2026-07-09-02-29-05,1,wsl,medium,100000,8,update,800000,1190.8195,6.700375,3.7244606,18.17134,44.260323,0.069037996,4381.0483,0.0,77.7532122905028,0.0,3438.137206703911,0.0,0.0,3553.2799999999997,37888.0,358
berkeleydb,2026-07-09-02-29-05,1,wsl,small,0,1,mix_10W_90R,10000,323944.8,0.0030869453,0.0018430001,0.006221999,0.019630488,0.0017229976,0.110547,0.0,91.97,0.0,3023.872,0.0,0.0,0.0,0.0,1
