system,run_id,max_cpus,host_system,payload_size,iterations,workers,category,total_ops,throughput_ops_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_min_ms,latency_max_ms,cpu_db_mean_perc,cpu_client_mean_perc,mem_db_mean_mib,mem_client_mean_mib,io_db_read_mib,io_db_write_mib,io_client_read_mib,io_client_write_mib,resource_samples
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,10000,4,insert,40000,15484.77,0.25683138,0.154981,0.24486804,0.3956635,0.028355999,72.784355,0.0,101.075,0.0,793.85,0.0,0.0,0.0,0.0,4
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,10000,4,read,40000,34492.4,0.10982269,0.037226,0.112587,0.17251408,0.0067749997,76.551315,0.0,100.70500000000001,0.0,735.65,0.0,0.0,0.0,0.0,2
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,10000,4,update,40000,12650.468,0.31314194,0.16909,0.292362,0.5026608,0.027658,73.02446,0.0,101.24600000000001,0.0,811.8599999999999,0.0,0.0,0.0,1024.0,5
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,10000,8,delete,80000,10738.051,0.7389301,0.39904648,0.631098,11.082817,0.033874,88.72158,0.0,100.1509090909091,0.0,936.0138181818182,0.0,0.0,0.0,2048.0,11
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,10000,8,insert,80000,9385.354,0.83088964,0.554621,0.89161205,11.697205,0.036038,89.36883,0.0,101.272,0.0,932.8100000000001,0.0,0.0,0.0,2048.0,10
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,10000,8,read,80000,11922.437,0.65375304,0.173559,0.44064146,0.7286056,0.0053080004,89.27919,0.0,102.09571428571428,0.0,882.3571428571429,0.0,0.0,0.0,0.0,7
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,10000,8,update,80000,8042.1045,0.98114246,0.55071,0.7902035,16.40851,0.059785,87.9618,0.0,102.9076923076923,0.0,983.7701538461539,0.0,0.0,0.0,3072.0,13
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,100000,1,delete,100000,27787.992,0.035986766,0.029474,0.047144,0.059576,0.015715001,41.54408,0.0,91.72,0.0,744.725,0.0,0.0,0.0,3072.0,4
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,100000,1,insert,100000,29120.5,0.03434007,0.028635,0.041975,0.05364069,0.015436,43.086777,0.0,91.45,0.0,734.725,0.0,0.0,0.0,1024.0,4
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,100000,1,read,100000,53194.96,0.018798774,0.012432,0.04889,0.074801,0.005588,13.83115,0.0,95.475,0.0,728.2,0.0,0.0,0.0,0.0,2
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,100000,1,update,100000,20791.592,0.048096366,0.036667,0.062929,0.08548869,0.022838,30.657011,0.0,88.1475,0.0,733.475,0.0,0.0,0.0,2048.0,4
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,100000,2,delete,200000,17785.14,0.11153127,0.060065,0.106021,0.152536,0.016832,50.620785,0.0,100.66625,0.0,775.6,0.0,0.0,0.0,3072.0,8
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,100000,2,insert,200000,9068.764,0.22013733,0.077874,0.151349,0.21721168,0.016693,844.2113,0.0,62.28071428571428,0.0,777.6071428571429,0.0,0.0,0.0,5120.0,14
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,100000,2,read,200000,41519.465,0.047455776,0.0176,0.07068,0.126345,0.00901,52.77314,0.0,101.2125,0.0,756.725,0.0,0.0,0.0,0.0,4
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,100000,2,update,200000,15891.917,0.12584879,0.064744,0.104834,0.169089,0.023397,44.895313,0.0,95.79299999999999,0.0,791.99,0.0,0.0,0.0,4096.0,10
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,100000,4,delete,400000,11170.805,0.35708877,0.197025,0.31296405,0.49469468,0.020953,76.80338,0.0,101.32818181818183,0.0,888.7454545454547,0.0,0.0,0.0,8192.0,22
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,100000,4,insert,400000,10574.635,0.378218,0.231318,0.352006,0.512854,0.027937,393.68787,0.0,87.36280000000001,0.0,875.092,0.0,0.0,0.0,9216.0,25
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,100000,4,read,400000,28419.635,0.13754848,0.028704999,0.144504,0.267497,0.0095689995,76.873344,0.0,101.36111111111111,0.0,842.9333333333333,0.0,0.0,0.0,0.0,9
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,100000,4,update,400000,8614.923,0.4629706,0.255205,0.41975746,0.7577917,0.030033,83.93307,0.0,101.57285714285715,0.0,917.3357142857143,0.0,0.0,0.0,18432.0,28
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,100000,8,delete,800000,6140.697,1.2838225,0.647368,1.192696,30.64985,0.034782,454.75403,0.0,82.9643661971831,0.0,1100.5568450704225,0.0,0.0,1323.2,18432.0,71
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,100000,8,insert,800000,6682.1846,1.1948142,0.778463,1.059229,13.526088,0.031429,540.94073,0.0,89.11188405797103,0.0,1091.1834202898551,0.0,0.0,0.0,35840.0,69
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,100000,8,read,800000,11482.244,0.6856834,0.171673,0.542186,0.9153537,0.009986999,89.09125,0.0,102.48394736842106,0.0,1080.8267368421052,0.0,0.0,0.0,6144.0,38
berkeleydb,2026-07-11-10-40-42,1,ubuntu,medium,100000,8,update,800000,6387.8037,1.2468889,0.725103,1.197237,28.457539,0.038972,127.27138,0.0,100.88828571428571,0.0,1178.0211428571429,0.0,0.0,493.7,21504.0,70
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,0,1,mix_10W_90R,10000,191174.69,0.005230818,0.003352,0.0071940003,0.0118030105,0.002374,10.927263,0.0,101.39,0.0,717.2,0.0,0.0,0.0,0.0,1
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,0,1,mix_50W_50R,20000,204601.06,0.0048875604,0.0060759997,0.007543,0.010966,0.001467,0.0755,0.0,101.39,0.0,717.2,0.0,0.0,0.0,0.0,1
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,0,1,mix_90W_10R,10000,114008.234,0.008771297,0.006705,0.033385,0.044699702,0.0028630001,0.261492,0.0,101.39,0.0,717.2,0.0,0.0,0.0,0.0,1
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,0,2,mix_10W_90R,20000,194701.27,0.008028851,0.00419,0.018229,0.032896,0.0018849996,42.760025,0.0,100.12,0.0,731.4,0.0,0.0,0.0,0.0,2
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,0,2,mix_50W_50R,40000,71348.65,0.02549141,0.020045,0.028635,0.04120939,0.001885,46.53706,0.0,100.12,0.0,731.4,0.0,0.0,0.0,0.0,2
berkeleydb,2026-07-11-10-40-42,1,ubuntu,small,0,2,mix_90W_10R,20000,66326.1,0.03005838,0.015086,0.045119,0.0728474,0.0028629997,42.961662,0.0,100.12,0.0,731.4,0.0,0.0,0.0,0.0,2
